bagID,Chamber,block,time,Warming,Fragmentation,position,Type,dwt.initial,dwt.final,mass.loss,prop.mass.loss,Notes
069C,,,,,,,Control 2,0.3608,0.3463,0.0145,0.0402,"Control take 2 - redo a Control procedure, using approximately the same treatment"
072C,,,,,,,Control 2,0.4034,0.3870,0.0164,0.0407,"Control take 2 - redo a Control procedure, using approximately the same treatment"
075C,,,,,,,Control 2,0.3951,0.3801,0.0150,0.0380,"Control take 2 - redo a Control procedure, using approximately the same treatment"
077C,,,,,,,Control 2,0.4698,0.4544,0.0154,0.0328,"Control take 2 - redo a Control procedure, using approximately the same treatment"
078C,,,,,,,Control 2,0.3629,0.3479,0.0150,0.0413,"Control take 2 - redo a Control procedure, using approximately the same treatment"
079C,,,,,,,Control 2,0.3957,0.3810,0.0147,0.0371,"Control take 2 - redo a Control procedure, using approximately the same treatment"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
